company_name,email,job_role,quote_value,item_count,conversion_days,past_engagements,industry
DigitalServices,vp@digitalservices.com,VP Engineering,89986,133,22,1,Technology
SmartStarTechnologies,director@smartstartechnologies.com,Director IT,74771,112,28,2,Retail
MediSoftIndustries,chief@medisoftindustries.com,Chief Technology Officer,242198,429,33,5,Healthcare
AutoTechInc,director@autotech.com,Director IT,237955,238,16,4,Manufacturing
BankMaxSystems,chief@bankmaxsystems.com,Chief Executive Officer,492351,653,67,7,Finance
UniversityTechTechnologies,director@universitytechtechnologies.com,Director IT,49063,97,28,0,Education
TradingServices,chief@tradingservices.com,Chief Information Officer,508757,891,18,14,Finance
TradingInc,vp@trading.com,VP Operations,156133,292,56,5,Finance
CapitalMaxCorp,vp@capitalmax.com,VP Sales,228377,360,41,2,Finance
DataSoftTechnologies,vp@datasofttechnologies.com,VP Sales,97924,74,59,0,Technology
PharmaStarLabs,chief@pharmastarlabs.com,Chief Technology Officer,341371,661,79,7,Healthcare
DataMaxLabs,chief@datamaxlabs.com,Chief Financial Officer,389599,729,73,11,Technology
AutoIndustries,manager@autoindustries.com,Manager,270900,332,50,5,Manufacturing
CyberStarCorp,manager@cyberstar.com,Manager,88890,89,40,1,Technology
TechTechTechnologies,chief@techtechtechnologies.com,Chief Financial Officer,431132,660,56,13,Technology
DataMaxInc,chief@datamax.com,Chief Technology Officer,320581,444,33,9,Technology
DataMaxCorp,director@datamax.com,Director IT,86408,101,61,3,Technology
InvestTechnologies,director@investtechnologies.com,Director IT,232822,369,84,2,Finance
UniversityTechLabs,manager@universitytechlabs.com,Manager,57935,90,85,0,Education
SmartSoftPartners,chief@smartsoftpartners.com,Chief Executive Officer,468270,724,23,7,Technology
LearnMaxIndustries,vp@learnmaxindustries.com,VP Engineering,84237,49,32,2,Education
RetailProTechnologies,vp@retailprotechnologies.com,VP Engineering,77132,47,51,2,Retail
PharmaIndustries,director@pharmaindustries.com,Director IT,119547,201,39,6,Healthcare
AdvancedPlusLabs,chief@advancedpluslabs.com,Chief Information Officer,603618,1000,44,11,Manufacturing
CloudProSolutions,procurement@cloudprosolutions.com,Procurement,66371,38,76,0,Technology
BankSoftServices,chief@banksoftservices.com,Chief Technology Officer,384574,435,19,5,Finance
DataStarTechnologies,director@datastartechnologies.com,Director IT,213985,181,39,2,Technology
EduTechCorp,vp@edutech.com,VP Operations,73001,123,57,3,Education
MedicalProTechnologies,manager@medicalprotechnologies.com,Manager,99262,197,73,3,Healthcare
OnlineMaxSolutions,chief@onlinemaxsolutions.com,Chief Technology Officer,160042,122,55,2,Education
DynamicMaxPartners,chief@dynamicmaxpartners.com,Chief Technology Officer,222750,183,23,4,Other
FinProLabs,vp@finprolabs.com,VP Operations,257757,514,17,4,Finance
QuantumTechServices,manager@quantumtechservices.com,Manager,133300,84,70,4,Technology
SmartProServices,manager@smartproservices.com,Manager,75931,41,54,0,Technology
InvestPlusInc,chief@investplus.com,Chief Financial Officer,571271,881,62,14,Finance
TradingMaxGroup,director@tradingmaxgroup.com,Director IT,225991,412,76,6,Finance
AcademySoftTechnologies,vp@academysofttechnologies.com,VP Engineering,116231,197,54,5,Education
AcademyMaxServices,director@academymaxservices.com,Director IT,56292,85,77,2,Education
MegaTechLabs,chief@megatechlabs.com,Chief Technology Officer,137638,69,46,4,Retail
AIPlusInc,vp@aiplus.com,VP Engineering,239004,301,53,3,Technology
DigitalTechCorp,vp@digitaltech.com,VP Sales,213038,226,78,6,Technology
SmartStarSolutions,chief@smartstarsolutions.com,Chief Technology Officer,111736,217,77,5,Retail
AdvancedPlusPartners,chief@advancedpluspartners.com,Chief Information Officer,618563,588,31,10,Manufacturing
PrecisionSoftPartners,chief@precisionsoftpartners.com,Chief Technology Officer,634893,1000,43,8,Manufacturing
RoboMaxIndustries,chief@robomaxindustries.com,Chief Technology Officer,487813,515,46,7,Manufacturing
AISoftLabs,chief@aisoftlabs.com,Chief Executive Officer,423395,482,27,13,Technology
AISoftSystems,director@aisoftsystems.com,Director IT,102307,151,41,4,Technology
DynamicPlusTechnologies,vp@dynamicplustechnologies.com,VP Operations,79214,89,73,3,Other
HealthProGroup,chief@healthprogroup.com,Chief Executive Officer,252857,465,29,3,Healthcare
QuantumTechCorp,vp@quantumtech.com,VP Operations,76385,137,41,3,Technology
TechMaxCorp,director@techmax.com,Director IT,255390,301,64,5,Technology
SmartPlusGroup,manager@smartplusgroup.com,Manager,196323,332,39,7,Technology
TechPlusSystems,vp@techplussystems.com,VP Engineering,115455,142,77,7,Technology
TradingProInc,procurement@tradingpro.com,Procurement,291184,150,32,7,Finance
MedicalProPartners,vp@medicalpropartners.com,VP Operations,139288,268,55,4,Healthcare
FinPlusCorp,procurement@finplus.com,Procurement,269631,142,68,7,Finance
TechSoftLabs,chief@techsoftlabs.com,Chief Executive Officer,349153,454,44,5,Technology
ShopPartners,chief@shoppartners.com,Chief Technology Officer,113398,90,29,3,Retail
CyberProCorp,chief@cyberpro.com,Chief Technology Officer,480858,263,20,13,Technology
QuantumSoftServices,manager@quantumsoftservices.com,Manager,152215,239,76,5,Technology
CareProIndustries,manager@careproindustries.com,Manager,86653,149,40,2,Healthcare
PrecisionStarLabs,chief@precisionstarlabs.com,Chief Technology Officer,691957,961,26,13,Manufacturing
LearnSolutions,vp@learnsolutions.com,VP Engineering,100316,77,67,4,Education
DigitalProInc,chief@digitalpro.com,Chief Information Officer,302920,375,42,14,Technology
BioPartners,chief@biopartners.com,Chief Information Officer,352340,560,75,12,Healthcare
PharmaPlusSystems,chief@pharmaplussystems.com,Chief Technology Officer,356400,452,50,14,Healthcare
RoboInc,manager@robo.com,Manager,441570,613,26,7,Manufacturing
AdvancedProCorp,director@advancedpro.com,Director IT,307795,573,56,6,Manufacturing
SmartMaxPartners,chief@smartmaxpartners.com,Chief Financial Officer,481749,870,28,12,Technology
BankInc,chief@bank.com,Chief Information Officer,485818,470,42,6,Finance
OnlinePlusCorp,chief@onlineplus.com,Chief Technology Officer,132588,113,45,4,Education
LearnPlusLabs,director@learnpluslabs.com,Director IT,72240,84,22,2,Education
EduPlusPartners,chief@edupluspartners.com,Chief Financial Officer,155946,250,51,2,Education
FashionPlusTechnologies,director@fashionplustechnologies.com,Director IT,38309,30,75,3,Retail
CloudServices,chief@cloudservices.com,Chief Information Officer,300281,167,49,10,Technology
DataTechGroup,vp@datatechgroup.com,VP Engineering,83997,128,34,0,Technology
